round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
5,0.012091984041035175,0.012091984041035175,0.07024352997541428,0.009004654362797737,0.009004654362797737,0.05822412669658661,32,5,tanh,75,16,tanh,256,5,50,adam,1e-05
5,0.044186729937791824,0.044186729937791824,0.15804345905780792,0.03847123682498932,0.03847123682498932,0.147162526845932,32,5,tanh,75,32,relu,256,5,50,adam,0.001
5,0.053316790610551834,0.053316790610551834,0.1748342216014862,0.04738651216030121,0.04738651216030121,0.164938285946846,32,5,tanh,75,32,relu,256,5,50,adam,0.0001
5,0.05067829415202141,0.05067829415202141,0.16913746297359467,0.04426619037985802,0.04426619037985802,0.15775705873966217,32,5,tanh,75,32,relu,256,5,50,adam,1e-05
5,0.041900720447301865,0.041900720447301865,0.1530613899230957,0.03626610338687897,0.03626610338687897,0.14205172657966614,32,5,tanh,75,32,tanh,256,5,50,adam,0.001
5,0.06715285032987595,0.06715285032987595,0.19466745853424072,0.0591735765337944,0.0591735765337944,0.1824231743812561,32,5,tanh,75,32,tanh,256,5,50,adam,0.0001
5,0.019765926524996758,0.019765926524996758,0.10294214636087418,0.016227101907134056,0.016227101907134056,0.0930701270699501,32,5,tanh,75,32,tanh,256,5,50,adam,1e-05
5,0.03429650142788887,0.03429650142788887,0.13717322051525116,0.029078518971800804,0.029078518971800804,0.12570667266845703,32,5,tanh,75,64,relu,256,5,50,adam,0.001
5,0.04668314754962921,0.04668314754962921,0.16226710379123688,0.04094519093632698,0.04094519093632698,0.15200242400169373,32,5,tanh,75,64,relu,256,5,50,adam,0.0001
5,0.049993325024843216,0.049993325024843216,0.16901184618473053,0.04379817470908165,0.04379817470908165,0.15806901454925537,32,5,tanh,75,64,relu,256,5,50,adam,1e-05
5,0.026270272210240364,0.026270272210240364,0.11955692619085312,0.021552175283432007,0.021552175283432007,0.10755182802677155,32,5,tanh,75,64,tanh,256,5,50,adam,0.001
5,0.04075303301215172,0.04075303301215172,0.1491747349500656,0.034368984401226044,0.034368984401226044,0.1360553801059723,32,5,tanh,75,64,tanh,256,5,50,adam,0.0001
5,0.04176164045929909,0.04176164045929909,0.14993496239185333,0.03540371358394623,0.03540371358394623,0.13732688128948212,32,5,tanh,75,64,tanh,256,5,50,adam,1e-05
5,0.04155505821108818,0.04155505821108818,0.1516718566417694,0.03568508103489876,0.03568508103489876,0.139748215675354,32,7,tanh,50,16,relu,256,5,50,adam,0.001
