,avgcpu,std,labels
552,[0.10517336],[0.75638247],[0.8937938]
553,[0.0996778],[0.75701654],[0.62186183]
554,[0.09574561],[0.75525045],[0.45146796]
555,[0.09363103],[0.757283],[0.29825329]
556,[0.08544677],[0.7638034],[0.50138585]
557,[0.09091172],[0.7608188],[0.65860107]
558,[0.09245463],[0.7542957],[0.96056405]
559,[0.10268815],[0.74090356],[1.15172407]
560,[0.1083134],[0.7266453],[1.27060342]
561,[0.11872539],[0.71221286],[1.43375224]
562,[0.12653922],[0.7039756],[1.59834852]
563,[0.13352877],[0.69858605],[1.49405709]
564,[0.13715892],[0.6974924],[1.5645857]
565,[0.13901104],[0.70176834],[1.54250355]
566,[0.1320826],[0.71029377],[1.32867705]
567,[0.12963851],[0.7183481],[1.28628592]
568,[0.12405923],[0.7294577],[1.00615799]
569,[0.11369106],[0.7423303],[1.02210324]
570,[0.11410877],[0.7489563],[0.80072509]
571,[0.10442728],[0.7574218],[0.89468059]
572,[0.10640974],[0.7584158],[0.99602192]
